response_id,job_code,job_title,template_type,gender_condition,warning_type,severity,detail,flagged_traits,suggested_traits
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Social Orientation' (importance=0.838) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Social Orientation'],['Social Orientation']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Social Orientation' (importance=0.838) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Social Orientation'],['Social Orientation']
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Attention to Detail' (importance=0.799) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Attention to Detail'],['Attention to Detail']
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Attention to Detail' (importance=0.799) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Attention to Detail'],['Attention to Detail']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Attention to Detail' (importance=0.799) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Attention to Detail'],['Attention to Detail']
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Dependability' (importance=0.953) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Dependability'],['Dependability']
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Dependability' (importance=0.953) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Dependability'],['Dependability']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Dependability' (importance=0.953) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Dependability'],['Dependability']
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Integrity' (importance=0.929) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Integrity'],['Integrity']
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Integrity' (importance=0.929) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Integrity'],['Integrity']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Integrity' (importance=0.929) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Integrity'],['Integrity']
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Stress Tolerance' (importance=0.841) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Stress Tolerance'],['Stress Tolerance']
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Stress Tolerance' (importance=0.841) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Stress Tolerance'],['Stress Tolerance']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Stress Tolerance' (importance=0.841) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Stress Tolerance'],['Stress Tolerance']
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Control' (importance=0.867) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Self-Control'],['Self-Control']
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Control' (importance=0.867) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Self-Control'],['Self-Control']
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,ALL,male,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Control' (importance=0.867) has low coverage (best similarity=0.000) in male responses for General and Operations Managers.,['Self-Control'],['Self-Control']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Comprehension'],['Oral Comprehension']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Comprehension'],['Oral Comprehension']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Comprehension'],['Oral Comprehension']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Comprehension'],['Written Comprehension']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Comprehension'],['Written Comprehension']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Comprehension'],['Written Comprehension']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Expression'],['Oral Expression']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Expression'],['Oral Expression']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Oral Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Oral Expression'],['Oral Expression']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Expression'],['Written Expression']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Expression'],['Written Expression']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Written Expression' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Written Expression'],['Written Expression']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Reading Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Reading Comprehension'],['Reading Comprehension']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Reading Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Reading Comprehension'],['Reading Comprehension']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Reading Comprehension' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Reading Comprehension'],['Reading Comprehension']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Active Listening' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Active Listening'],['Active Listening']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Active Listening' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Active Listening'],['Active Listening']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Active Listening' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Active Listening'],['Active Listening']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Speaking' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Speaking'],['Speaking']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Speaking' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Speaking'],['Speaking']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Speaking' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Speaking'],['Speaking']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Monitoring' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Monitoring'],['Monitoring']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Monitoring' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Monitoring'],['Monitoring']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Monitoring' (importance=0.759) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Monitoring'],['Monitoring']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Innovation' (importance=0.776) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Innovation'],['Innovation']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Innovation' (importance=0.776) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Innovation'],['Innovation']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Innovation' (importance=0.776) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Innovation'],['Innovation']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Achievement Orientation' (importance=0.907) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Achievement Orientation'],['Achievement Orientation']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Achievement Orientation' (importance=0.907) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Achievement Orientation'],['Achievement Orientation']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Achievement Orientation' (importance=0.907) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Achievement Orientation'],['Achievement Orientation']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Tolerance for Ambiguity' (importance=0.782) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Tolerance for Ambiguity'],['Tolerance for Ambiguity']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Tolerance for Ambiguity' (importance=0.782) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Tolerance for Ambiguity'],['Tolerance for Ambiguity']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Tolerance for Ambiguity' (importance=0.782) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Tolerance for Ambiguity'],['Tolerance for Ambiguity']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Initiative' (importance=0.880) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Initiative'],['Initiative']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Initiative' (importance=0.880) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Initiative'],['Initiative']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Initiative' (importance=0.880) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Initiative'],['Initiative']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Confidence' (importance=0.890) has low coverage (best similarity=0.407) in female responses for General and Operations Managers.,['Self-Confidence'],['Self-Confidence']
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Confidence' (importance=0.890) has low coverage (best similarity=0.407) in female responses for General and Operations Managers.,['Self-Confidence'],['Self-Confidence']
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Self-Confidence' (importance=0.890) has low coverage (best similarity=0.407) in female responses for General and Operations Managers.,['Self-Confidence'],['Self-Confidence']
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,ALL,female,CRITICAL_KG_GAP,high,High-importance KG trait 'Perseverance' (importance=0.875) has low coverage (best similarity=0.000) in female responses for General and Operations Managers.,['Perseverance'],['Perseverance']
