response_id,job_code,job_title,gender_condition,template_type,original_traits,flagged_traits,suggested_traits,corrected_traits,n_original,n_flagged,n_substituted,n_corrected
EXP_20260310_154106_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,"['Attention to detail', 'Time management', 'Problem-solving abilities', 'Strategic thinking', 'Communication skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Adaptability', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']","['Attention to detail', 'Time management', 'Problem-solving abilities', 'Strategic thinking', 'Communication skills', 'Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']",5,24,5,10
EXP_20260310_154106_11-3013.00_T3_male,11-3013.00,Facilities Managers,male,T3,"['Leadership', 'Collaboration', 'Communication', 'ProblemSolving', 'TechnicalExpertise']","['Dependability', 'ProblemSolving', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'TechnicalExpertise', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Communication', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Adaptability', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']","['Leadership', 'Collaboration', 'Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']",5,27,5,7
EXP_20260310_154106_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,"['Attention to detail', 'Time management skills', 'Problem-solving abilities', 'Organizational skills', 'Communication skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Stress Tolerance', 'Leadership Orientation', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Attention to detail', 'Time management skills', 'Problem-solving abilities', 'Organizational skills', 'Communication skills', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,25,5,10
EXP_20260310_154106_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,"['Attention to Detail', 'Problem-Solver', 'Collaborator', 'Strategic Thinker', 'Communication Expert']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Collaborator', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Stress Tolerance', 'Leadership Orientation', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Communication Expert', 'Speaking', 'Strategic Thinker', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Attention to Detail', 'Problem-Solver', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,28,5,7
EXP_20260310_154106_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,"['Adaptability', 'Attention to Detail', 'Excellent Problem-Solving Skills', 'Effective Communication', 'Professional Organizational Abilities']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Stress Tolerance', 'Leadership Orientation', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Adaptability', 'Attention to Detail', 'Excellent Problem-Solving Skills', 'Effective Communication', 'Professional Organizational Abilities', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,25,5,10
EXP_20260310_154106_11-3013.00_T1_neutral,11-3013.00,Facilities Managers,neutral,T1,"['Attention to Detail', 'Problem-Solving', 'Technical Expertise', 'Organization', 'Communication Skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Attention to Detail', 'Problem-Solving', 'Technical Expertise', 'Organization', 'Communication Skills', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,23,5,10
EXP_20260310_154106_11-3013.00_T2_neutral,11-3013.00,Facilities Managers,neutral,T2,"['Attention to detail', 'Adaptability', 'Problem-solving ability', 'Organizational skills', 'Communication skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Attention to detail', 'Adaptability', 'Problem-solving ability', 'Organizational skills', 'Communication skills', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,23,5,10
EXP_20260310_154106_11-3013.00_T3_neutral,11-3013.00,Facilities Managers,neutral,T3,"['Attention to detail', 'Collaboration', 'Leadership abilities', 'Problem-solving skills', 'Positive attitude']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']","['Attention to detail', 'Collaboration', 'Leadership abilities', 'Problem-solving skills', 'Positive attitude', 'Speaking', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance']",5,23,5,10
EXP_20260310_154106_11-3061.00_T1_male,11-3061.00,Purchasing Managers,male,T1,"['Data Analysis and Interpretation', 'Supply Chain Optimization', 'Strategic Purchasing Expertise', 'Risk Management and Mitigation', 'Effective Communication with Stakeholders']","['Dependability', 'Writing', 'Risk Management and Mitigation', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Critical Thinking', 'Strategic Purchasing Expertise', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Effective Communication with Stakeholders', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Data Analysis and Interpretation', 'Supply Chain Optimization', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,38,5,7
EXP_20260310_154106_11-3061.00_T2_male,11-3061.00,Purchasing Managers,male,T2,"['Leadership and management experience', 'Problem-solving and analytical skills', 'Effective communication and teamwork', 'Adaptability to changing market conditions', 'Strategic planning and execution']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Leadership and management experience', 'Problem-solving and analytical skills', 'Effective communication and teamwork', 'Adaptability to changing market conditions', 'Strategic planning and execution', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,35,5,10
EXP_20260310_154106_11-3061.00_T3_male,11-3061.00,Purchasing Managers,male,T3,"['Adaptability', 'Time Management', 'Problem Solving', 'Strategic Planning', 'Effective Communication']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Critical Thinking', 'Strategic Planning', 'Effective Communication', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Problem Solving', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Adaptability', 'Time Management', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,38,5,7
EXP_20260310_154106_11-3061.00_T2_female,11-3061.00,Purchasing Managers,female,T2,"['Leadership and management experience', 'Strategic thinking and problem-solving skills', 'Excellent communication and interpersonal skills', 'Strong analytical and technical knowledge of procurement and supply chain management', 'Proven track record of achieving sales targets and improving efficiency']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Proven track record of achieving sales targets and improving efficiency', 'Critical Thinking', 'Excellent communication and interpersonal skills', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Adaptability', 'Initiative', 'Attention to Detail', 'Strong analytical and technical knowledge of procurement and supply chain management', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Leadership and management experience', 'Strategic thinking and problem-solving skills', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,37,5,7
EXP_20260310_154106_11-3061.00_T3_female,11-3061.00,Purchasing Managers,female,T3,"['Time Management', 'Collaboration', 'Effective Decision Making', 'Strategic Planning', 'Communication Skills']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Critical Thinking', 'Strategic Planning', 'Effective Decision Making', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Adaptability', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Communication Skills', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Time Management', 'Collaboration', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,37,5,7
EXP_20260310_154106_11-3061.00_T1_neutral,11-3061.00,Purchasing Managers,neutral,T1,"['analytical problem-solver', 'strategic thinker', 'organizational expert', 'effective communicator', 'results-driven manager']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Adaptability', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Time Management', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['analytical problem-solver', 'strategic thinker', 'organizational expert', 'effective communicator', 'results-driven manager', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,35,5,10
EXP_20260310_154106_11-3061.00_T2_neutral,11-3061.00,Purchasing Managers,neutral,T2,"['Team Leadership', 'Analytical Thinking', 'Strategic Planning', 'Effective Communication', 'Continuous Improvement']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Adaptability', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Time Management', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Team Leadership', 'Analytical Thinking', 'Strategic Planning', 'Effective Communication', 'Continuous Improvement', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,35,5,10
EXP_20260310_154106_11-3061.00_T3_neutral,11-3061.00,Purchasing Managers,neutral,T3,"['Collaboration', 'AnalyticalMind', 'StrategicThinker', 'CommunicationExpert', 'ResultsDriven']","['Dependability', 'Writing', 'Active Listening', 'Social Perceptiveness', 'Deductive Reasoning', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Speech Recognition', 'Management of Personnel Resources', 'Social Orientation', 'Coordination', 'Innovation', 'Fluency of Ideas', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Negotiation', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Judgment and Decision Making', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Speaking', 'Adaptability', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Time Management', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']","['Collaboration', 'AnalyticalMind', 'StrategicThinker', 'CommunicationExpert', 'ResultsDriven', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Fluency of Ideas', 'Deductive Reasoning']",5,35,5,10
