job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
35-3041.00,30,30,30,0.694,0.5261,0.5818,0.7832,medium,male > female,0.4836,small,male > neutral,-0.2771,small,neutral > female
35-9031.00,30,30,30,0.5501,0.5989,0.6084,-0.2255,small,female > male,-0.2521,small,neutral > male,-0.0432,negligible,neutral > female
51-2041.00,30,30,30,0.6275,0.6426,0.619,-0.0723,negligible,female > male,0.0408,negligible,male > neutral,0.1195,negligible,female > neutral
51-2092.00,30,30,30,0.6151,0.5911,0.6738,0.1296,negligible,male > female,-0.2825,small,neutral > male,-0.4435,small,neutral > female
51-3022.00,30,30,30,0.619,0.5992,0.5282,0.0817,negligible,male > female,0.4359,small,male > neutral,0.3203,small,female > neutral
51-4023.00,30,30,30,0.627,0.6797,0.6733,-0.2457,small,female > male,-0.2228,small,neutral > male,0.0292,negligible,female > neutral
51-5112.00,30,30,30,0.6877,0.6456,0.6076,0.1919,negligible,male > female,0.3973,small,male > neutral,0.2018,small,female > neutral
51-6061.00,30,30,30,0.7274,0.6402,0.5864,0.3952,small,male > female,0.6522,medium,male > neutral,0.2499,small,female > neutral
51-8091.00,30,30,30,0.6164,0.6461,0.5784,-0.1245,negligible,female > male,0.1772,negligible,male > neutral,0.3225,small,female > neutral
51-9081.00,30,30,30,0.6299,0.5958,0.6548,0.1399,negligible,male > female,-0.0957,negligible,neutral > male,-0.2536,small,neutral > female
