job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
35-2011.00,30,30,0.6591,0.6529,0.0061,0.0944,0.9251,True,False,30,0.5614,0.0977,1.5441,0.128,True,False,0.0915,1.4837,0.1433,True,False
35-2015.00,30,30,0.6674,0.5761,0.0913,1.3837,0.1717,True,False,30,0.6145,0.0529,0.799,0.4275,True,False,-0.0384,-0.6011,0.5501,True,False
35-3011.00,30,30,0.5691,0.5407,0.0283,0.4955,0.6221,True,False,30,0.6295,-0.0605,-1.0122,0.3156,True,False,-0.0888,-1.5668,0.1226,True,False
35-3023.01,30,30,0.5982,0.6356,-0.0374,-0.6119,0.543,True,False,30,0.6116,-0.0134,-0.2244,0.8232,True,False,0.0239,0.3914,0.6969,True,False
35-3041.00,30,30,0.694,0.5261,0.1679,3.0334,0.0036,False,True,30,0.5818,0.1122,1.8731,0.0661,True,False,-0.0557,-1.0732,0.2876,True,False
35-9031.00,30,30,0.5501,0.5989,-0.0488,-0.8734,0.3861,True,False,30,0.6084,-0.0584,-0.9762,0.333,True,False,-0.0095,-0.1671,0.8678,True,False
51-2041.00,30,30,0.6275,0.6426,-0.0151,-0.2802,0.7803,True,False,30,0.619,0.0085,0.1579,0.8751,True,False,0.0236,0.4629,0.6452,True,False
51-2092.00,30,30,0.6151,0.5911,0.024,0.5018,0.6177,True,False,30,0.6738,-0.0588,-1.0943,0.2784,True,False,-0.0827,-1.7177,0.0912,False,False
51-3022.00,30,30,0.619,0.5992,0.0197,0.3165,0.7527,True,False,30,0.5282,0.0908,1.6883,0.0967,True,False,0.0711,1.2404,0.2198,True,False
51-4023.00,30,30,0.627,0.6797,-0.0527,-0.9518,0.3452,True,False,30,0.6733,-0.0463,-0.863,0.3917,True,False,0.0064,0.1131,0.9103,True,False
51-5112.00,30,30,0.6877,0.6456,0.0422,0.7431,0.4604,True,False,30,0.6076,0.0801,1.5387,0.1293,True,False,0.038,0.7815,0.4377,True,False
51-6061.00,30,30,0.7274,0.6402,0.0871,1.5307,0.1313,True,False,30,0.5864,0.1409,2.5258,0.0143,True,True,0.0538,0.9679,0.3371,True,False
51-8091.00,30,30,0.6164,0.6461,-0.0297,-0.4822,0.6315,True,False,30,0.5784,0.038,0.6864,0.4952,True,False,0.0677,1.2492,0.2166,True,False
51-9081.00,30,30,0.6299,0.5958,0.0341,0.542,0.5899,True,False,30,0.6548,-0.0248,-0.3706,0.7123,True,False,-0.0589,-0.9821,0.3301,True,False
