job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
15-1221.00,30,30,0.474,0.6001,-0.1261,-2.9737,0.0043,True,True,30,0.6141,-0.1401,-3.3772,0.0013,True,True,-0.014,-0.2777,0.7822,True,False
15-1242.00,30,30,0.5437,0.5141,0.0296,0.6202,0.5375,True,False,30,0.5167,0.0269,0.5314,0.5972,True,False,-0.0027,-0.0555,0.9559,True,False
15-1252.00,30,30,0.6374,0.5869,0.0505,1.0483,0.2988,True,False,30,0.4866,0.1508,3.7049,0.0005,False,True,0.1003,2.4954,0.0154,True,True
15-2021.00,30,30,0.636,0.6366,-0.0006,-0.0135,0.9893,True,False,30,0.6258,0.0102,0.2186,0.8277,True,False,0.0108,0.2403,0.8109,True,False
15-2051.02,30,30,0.5218,0.5861,-0.0643,-1.2338,0.2223,True,False,30,0.5382,-0.0164,-0.3118,0.7563,True,False,0.0478,0.8893,0.3775,True,False
15-2099.01,30,30,0.497,0.4751,0.0219,0.4793,0.6335,True,False,30,0.4641,0.0329,0.6767,0.5013,True,False,0.011,0.235,0.8151,True,False
17-1021.00,30,30,0.51,0.631,-0.121,-2.3683,0.0212,True,True,30,0.6031,-0.0931,-1.9266,0.0589,True,False,0.0279,0.4926,0.6242,True,False
17-1022.00,30,30,0.6142,0.6346,-0.0204,-0.3396,0.7354,True,False,30,0.6108,0.0035,0.0571,0.9547,True,False,0.0239,0.4208,0.6755,True,False
17-2011.00,30,30,0.6377,0.5956,0.0421,0.8667,0.3897,True,False,30,0.5089,0.1288,2.9332,0.0048,True,True,0.0866,1.9696,0.0537,True,False
17-2021.00,30,30,0.5182,0.5536,-0.0354,-0.7219,0.4733,True,False,30,0.5117,0.0065,0.1341,0.8938,True,False,0.0419,0.8827,0.381,True,False
17-2111.02,30,30,0.5417,0.4474,0.0943,2.0603,0.0439,True,True,30,0.4743,0.0674,1.4122,0.1632,True,False,-0.0269,-0.5849,0.5609,True,False
17-2141.00,30,30,0.5886,0.6341,-0.0455,-0.8858,0.3794,True,False,30,0.6326,-0.044,-0.8579,0.3945,True,False,0.0015,0.0282,0.9776,True,False
17-2141.02,30,30,0.6391,0.5658,0.0733,1.4791,0.1445,True,False,30,0.6231,0.016,0.3097,0.7579,True,False,-0.0573,-1.1498,0.2549,True,False
17-3029.08,30,30,0.5404,0.5702,-0.0298,-0.6372,0.5265,True,False,30,0.567,-0.0267,-0.4962,0.6216,True,False,0.0032,0.0664,0.9473,True,False
27-1013.00,29,30,0.6792,0.5945,0.0847,1.412,0.1634,True,False,30,0.6388,0.0405,0.6392,0.5253,True,False,-0.0442,-0.7298,0.4684,True,False
27-1014.00,30,30,0.6402,0.6051,0.0351,0.6745,0.5027,True,False,30,0.5398,0.1004,1.8496,0.0695,True,False,0.0653,1.3028,0.1978,True,False
27-1022.00,30,30,0.5916,0.6591,-0.0674,-1.1904,0.2387,True,False,30,0.6008,-0.0092,-0.1743,0.8622,True,False,0.0583,1.0564,0.2952,True,False
27-1023.00,30,30,0.6413,0.6426,-0.0013,-0.0219,0.9826,True,False,30,0.6285,0.0127,0.2062,0.8374,True,False,0.0141,0.2312,0.8179,True,False
27-2012.00,30,30,0.6162,0.6187,-0.0024,-0.0597,0.9526,True,False,30,0.6855,-0.0692,-1.5769,0.1203,True,False,-0.0668,-1.5078,0.137,True,False
27-2022.00,30,30,0.6082,0.5403,0.0679,1.687,0.097,True,False,30,0.5822,0.026,0.5357,0.5942,True,False,-0.0419,-0.9863,0.3281,True,False
27-3041.00,30,30,0.6618,0.5981,0.0638,1.3027,0.1978,True,False,30,0.6183,0.0435,0.8385,0.4052,True,False,-0.0202,-0.3873,0.7,True,False
27-4031.00,30,30,0.5328,0.6166,-0.0838,-1.5779,0.12,True,False,30,0.6382,-0.1054,-2.0179,0.0482,True,True,-0.0216,-0.3867,0.7004,True,False
37-1011.00,30,30,0.6395,0.6913,-0.0518,-0.9226,0.36,True,False,30,0.6293,0.0102,0.1902,0.8498,True,False,0.062,1.1465,0.2563,True,False
37-1012.00,30,30,0.6892,0.6401,0.0491,0.8897,0.3773,True,False,30,0.6011,0.0881,1.7347,0.0881,True,False,0.0391,0.7877,0.4341,True,False
37-2011.00,30,30,0.6349,0.6095,0.0254,0.446,0.6573,True,False,30,0.6649,-0.03,-0.5334,0.5958,True,False,-0.0554,-0.9751,0.3336,True,False
37-2012.00,30,30,0.6016,0.6584,-0.0568,-0.9835,0.3295,True,False,30,0.6667,-0.065,-1.1006,0.2756,True,False,-0.0082,-0.1385,0.8903,True,False
37-2021.00,30,30,0.5389,0.5163,0.0226,0.4344,0.6656,True,False,30,0.5717,-0.0328,-0.6011,0.5501,True,False,-0.0554,-1.0168,0.3135,True,False
37-3011.00,30,30,0.5976,0.562,0.0356,0.6944,0.4902,True,False,30,0.562,0.0356,0.6465,0.5205,True,False,0.0,0.0002,0.9998,True,False
37-3012.00,30,30,0.6026,0.5936,0.0091,0.1478,0.8831,True,False,30,0.5849,0.0177,0.2728,0.7859,True,False,0.0086,0.1323,0.8952,True,False
37-3013.00,30,30,0.5347,0.5266,0.0081,0.1565,0.8762,True,False,30,0.5593,-0.0246,-0.4196,0.6763,True,False,-0.0328,-0.6075,0.5459,True,False
