job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
27-1024.00,0.7187,0.7255,0.6811,0.5772,0.5852,0.5737,0.0376,0.0444,0.0035,0.0115,-0.0068,-0.008
27-1025.00,0.7382,0.6557,0.7051,0.5753,0.5471,0.5449,0.0331,-0.0494,0.0304,0.0022,0.0825,0.0282
27-2012.04,0.6469,0.6238,0.5992,0.5605,0.524,0.5053,0.0477,0.0246,0.0552,0.0187,0.0231,0.0365
27-2012.05,0.7071,0.6633,0.6967,0.5644,0.5595,0.5613,0.0104,-0.0334,0.0031,-0.0018,0.0438,0.0049
27-2022.00,0.5601,0.5713,0.5281,0.4866,0.4876,0.4827,0.032,0.0432,0.0039,0.0049,-0.0112,-0.001
27-2041.00,0.6711,0.5962,0.6742,0.5848,0.5832,0.5638,-0.0031,-0.078,0.021,0.0194,0.0749,0.0016
51-2022.00,0.7108,0.6633,0.7318,0.5715,0.5941,0.5767,-0.021,-0.0685,-0.0052,0.0174,0.0475,-0.0226
51-3091.00,0.7175,0.7242,0.7128,0.5492,0.5523,0.5514,0.0047,0.0114,-0.0022,0.0009,-0.0067,-0.0031
51-4021.00,0.7527,0.6973,0.7459,0.5994,0.5784,0.5603,0.0068,-0.0486,0.0391,0.0181,0.0554,0.021
51-4061.00,0.7134,0.6847,0.7147,0.4931,0.5894,0.5592,-0.0013,-0.03,-0.0661,0.0302,0.0287,-0.0963
51-4072.00,0.7398,0.7137,0.7306,0.5712,0.5761,0.5886,0.0092,-0.0169,-0.0174,-0.0125,0.0261,-0.0049
51-4122.00,0.6946,0.6755,0.6973,0.5363,0.6128,0.5667,-0.0027,-0.0218,-0.0304,0.0461,0.0191,-0.0765
51-9071.00,0.598,0.5986,0.6175,0.5421,0.5923,0.5555,-0.0195,-0.0189,-0.0134,0.0368,-0.0006,-0.0502
51-9192.00,0.6876,0.6893,0.6781,0.4908,0.4885,0.4959,0.0095,0.0112,-0.0051,-0.0074,-0.0017,0.0023
