Job_Code,Job_Title,Attribute_Name,Importance_Score,Trait_Type
11-1021.00,General and Operations Managers,Dynamic Strength,1.12,Abilities
11-1021.00,General and Operations Managers,Trunk Strength,2.12,Abilities
11-1021.00,General and Operations Managers,Stamina,1.62,Abilities
11-1021.00,General and Operations Managers,Extent Flexibility,1.25,Abilities
11-1021.00,General and Operations Managers,Dynamic Flexibility,1.0,Abilities
11-1021.00,General and Operations Managers,Gross Body Coordination,1.5,Abilities
11-1021.00,General and Operations Managers,Gross Body Equilibrium,1.38,Abilities
11-1021.00,General and Operations Managers,Near Vision,3.5,Abilities
11-1021.00,General and Operations Managers,Far Vision,2.62,Abilities
11-1021.00,General and Operations Managers,Visual Color Discrimination,1.88,Abilities
11-1021.00,General and Operations Managers,Night Vision,1.12,Abilities
11-1021.00,General and Operations Managers,Peripheral Vision,1.25,Abilities
11-1021.00,General and Operations Managers,Depth Perception,1.88,Abilities
11-1021.00,General and Operations Managers,Glare Sensitivity,1.0,Abilities
11-1021.00,General and Operations Managers,Hearing Sensitivity,1.75,Abilities
11-1021.00,General and Operations Managers,Auditory Attention,2.12,Abilities
11-1021.00,General and Operations Managers,Sound Localization,1.25,Abilities
11-1021.00,General and Operations Managers,Speech Recognition,3.62,Abilities
11-1021.00,General and Operations Managers,Speech Clarity,3.88,Abilities
11-2011.00,Advertising and Promotions Managers,Oral Comprehension,4.0,Abilities
11-2011.00,Advertising and Promotions Managers,Written Comprehension,4.0,Abilities
11-2011.00,Advertising and Promotions Managers,Oral Expression,4.25,Abilities
11-2011.00,Advertising and Promotions Managers,Written Expression,3.88,Abilities
11-2011.00,Advertising and Promotions Managers,Fluency of Ideas,3.75,Abilities
11-2011.00,Advertising and Promotions Managers,Originality,3.75,Abilities
11-2011.00,Advertising and Promotions Managers,Problem Sensitivity,3.62,Abilities
11-2011.00,Advertising and Promotions Managers,Deductive Reasoning,3.88,Abilities
11-2011.00,Advertising and Promotions Managers,Inductive Reasoning,3.5,Abilities
11-2011.00,Advertising and Promotions Managers,Information Ordering,3.25,Abilities
11-2011.00,Advertising and Promotions Managers,Category Flexibility,3.38,Abilities
11-2011.00,Advertising and Promotions Managers,Mathematical Reasoning,3.0,Abilities
11-2011.00,Advertising and Promotions Managers,Number Facility,2.88,Abilities
11-2011.00,Advertising and Promotions Managers,Memorization,2.5,Abilities
11-2011.00,Advertising and Promotions Managers,Speed of Closure,2.62,Abilities
11-2011.00,Advertising and Promotions Managers,Flexibility of Closure,3.12,Abilities
11-2011.00,Advertising and Promotions Managers,Perceptual Speed,2.88,Abilities
11-2011.00,Advertising and Promotions Managers,Spatial Orientation,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Visualization,3.25,Abilities
11-2011.00,Advertising and Promotions Managers,Selective Attention,2.88,Abilities
11-2011.00,Advertising and Promotions Managers,Time Sharing,2.75,Abilities
11-2011.00,Advertising and Promotions Managers,Arm-Hand Steadiness,1.38,Abilities
11-2011.00,Advertising and Promotions Managers,Manual Dexterity,1.38,Abilities
11-2011.00,Advertising and Promotions Managers,Finger Dexterity,1.62,Abilities
11-2011.00,Advertising and Promotions Managers,Control Precision,1.12,Abilities
11-2011.00,Advertising and Promotions Managers,Multilimb Coordination,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Response Orientation,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Rate Control,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Reaction Time,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Wrist-Finger Speed,1.75,Abilities
11-2011.00,Advertising and Promotions Managers,Speed of Limb Movement,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Static Strength,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Explosive Strength,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Dynamic Strength,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Trunk Strength,1.62,Abilities
11-2011.00,Advertising and Promotions Managers,Stamina,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Extent Flexibility,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Dynamic Flexibility,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Gross Body Coordination,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Gross Body Equilibrium,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Near Vision,3.75,Abilities
11-2011.00,Advertising and Promotions Managers,Far Vision,2.88,Abilities
11-2011.00,Advertising and Promotions Managers,Visual Color Discrimination,2.88,Abilities
11-2011.00,Advertising and Promotions Managers,Night Vision,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Peripheral Vision,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Depth Perception,1.75,Abilities
11-2011.00,Advertising and Promotions Managers,Glare Sensitivity,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Hearing Sensitivity,1.75,Abilities
11-2011.00,Advertising and Promotions Managers,Auditory Attention,1.75,Abilities
11-2011.00,Advertising and Promotions Managers,Sound Localization,1.0,Abilities
11-2011.00,Advertising and Promotions Managers,Speech Recognition,3.88,Abilities
11-2011.00,Advertising and Promotions Managers,Speech Clarity,4.0,Abilities
11-2021.00,Marketing Managers,Oral Comprehension,4.0,Abilities
11-2021.00,Marketing Managers,Written Comprehension,4.0,Abilities
11-2021.00,Marketing Managers,Oral Expression,4.0,Abilities
11-2021.00,Marketing Managers,Written Expression,3.88,Abilities
11-2021.00,Marketing Managers,Fluency of Ideas,3.75,Abilities
11-2021.00,Marketing Managers,Originality,3.62,Abilities
11-2021.00,Marketing Managers,Problem Sensitivity,3.62,Abilities
11-2021.00,Marketing Managers,Deductive Reasoning,3.88,Abilities
11-2021.00,Marketing Managers,Inductive Reasoning,3.75,Abilities
11-2021.00,Marketing Managers,Information Ordering,3.25,Abilities
11-2021.00,Marketing Managers,Category Flexibility,3.25,Abilities
11-2021.00,Marketing Managers,Mathematical Reasoning,3.12,Abilities
11-2021.00,Marketing Managers,Number Facility,3.12,Abilities
11-2021.00,Marketing Managers,Memorization,2.62,Abilities
11-2021.00,Marketing Managers,Speed of Closure,2.75,Abilities
11-2021.00,Marketing Managers,Flexibility of Closure,3.0,Abilities
11-2021.00,Marketing Managers,Perceptual Speed,2.75,Abilities
11-2021.00,Marketing Managers,Spatial Orientation,1.0,Abilities
11-2021.00,Marketing Managers,Visualization,3.0,Abilities
11-2021.00,Marketing Managers,Selective Attention,2.88,Abilities
11-2021.00,Marketing Managers,Time Sharing,2.75,Abilities
11-2021.00,Marketing Managers,Arm-Hand Steadiness,1.12,Abilities
11-2021.00,Marketing Managers,Manual Dexterity,1.0,Abilities
11-2021.00,Marketing Managers,Finger Dexterity,1.75,Abilities
11-2021.00,Marketing Managers,Control Precision,1.0,Abilities
11-2021.00,Marketing Managers,Multilimb Coordination,1.0,Abilities
11-2021.00,Marketing Managers,Response Orientation,1.0,Abilities
11-2021.00,Marketing Managers,Rate Control,1.0,Abilities
11-2021.00,Marketing Managers,Reaction Time,1.0,Abilities
11-2021.00,Marketing Managers,Wrist-Finger Speed,1.62,Abilities
11-2021.00,Marketing Managers,Speed of Limb Movement,1.0,Abilities
11-2021.00,Marketing Managers,Static Strength,1.0,Abilities
11-2021.00,Marketing Managers,Explosive Strength,1.0,Abilities
11-2021.00,Marketing Managers,Dynamic Strength,1.25,Abilities
11-2021.00,Marketing Managers,Trunk Strength,1.75,Abilities
11-2021.00,Marketing Managers,Stamina,1.0,Abilities
11-2021.00,Marketing Managers,Extent Flexibility,1.0,Abilities
11-2021.00,Marketing Managers,Dynamic Flexibility,1.0,Abilities
11-2021.00,Marketing Managers,Gross Body Coordination,1.0,Abilities
11-2021.00,Marketing Managers,Gross Body Equilibrium,1.0,Abilities
11-2021.00,Marketing Managers,Near Vision,3.5,Abilities
11-2021.00,Marketing Managers,Far Vision,2.88,Abilities
11-2021.00,Marketing Managers,Visual Color Discrimination,2.88,Abilities
11-2021.00,Marketing Managers,Night Vision,1.0,Abilities
11-2021.00,Marketing Managers,Peripheral Vision,1.0,Abilities
11-2021.00,Marketing Managers,Depth Perception,1.75,Abilities
11-2021.00,Marketing Managers,Glare Sensitivity,1.0,Abilities
11-2021.00,Marketing Managers,Hearing Sensitivity,1.88,Abilities
11-2021.00,Marketing Managers,Auditory Attention,1.88,Abilities
11-2021.00,Marketing Managers,Sound Localization,1.0,Abilities
11-2021.00,Marketing Managers,Speech Recognition,3.62,Abilities
11-2021.00,Marketing Managers,Speech Clarity,3.75,Abilities
11-2022.00,Sales Managers,Oral Comprehension,4.0,Abilities
11-2022.00,Sales Managers,Written Comprehension,4.0,Abilities
11-2022.00,Sales Managers,Oral Expression,4.0,Abilities
11-2022.00,Sales Managers,Written Expression,4.0,Abilities
11-2022.00,Sales Managers,Fluency of Ideas,3.75,Abilities
11-2022.00,Sales Managers,Originality,3.75,Abilities
11-2022.00,Sales Managers,Problem Sensitivity,3.88,Abilities
11-2022.00,Sales Managers,Deductive Reasoning,3.88,Abilities
11-2022.00,Sales Managers,Inductive Reasoning,3.88,Abilities
11-2022.00,Sales Managers,Information Ordering,3.12,Abilities
11-2022.00,Sales Managers,Category Flexibility,3.25,Abilities
11-2022.00,Sales Managers,Mathematical Reasoning,2.88,Abilities
11-2022.00,Sales Managers,Number Facility,2.88,Abilities
11-2022.00,Sales Managers,Memorization,2.88,Abilities
11-2022.00,Sales Managers,Speed of Closure,2.88,Abilities
11-2022.00,Sales Managers,Flexibility of Closure,2.88,Abilities
11-2022.00,Sales Managers,Perceptual Speed,2.62,Abilities
11-2022.00,Sales Managers,Spatial Orientation,1.5,Abilities
11-2022.00,Sales Managers,Visualization,2.25,Abilities
11-2022.00,Sales Managers,Selective Attention,2.75,Abilities
11-2022.00,Sales Managers,Time Sharing,2.62,Abilities
11-2022.00,Sales Managers,Arm-Hand Steadiness,1.12,Abilities
11-2022.00,Sales Managers,Manual Dexterity,1.38,Abilities
11-2022.00,Sales Managers,Finger Dexterity,1.5,Abilities
11-2022.00,Sales Managers,Control Precision,1.38,Abilities
11-2022.00,Sales Managers,Multilimb Coordination,1.25,Abilities
11-2022.00,Sales Managers,Response Orientation,1.0,Abilities
11-2022.00,Sales Managers,Rate Control,1.0,Abilities
11-2022.00,Sales Managers,Reaction Time,1.0,Abilities
11-2022.00,Sales Managers,Wrist-Finger Speed,1.62,Abilities
11-2022.00,Sales Managers,Speed of Limb Movement,1.0,Abilities
11-2022.00,Sales Managers,Static Strength,1.0,Abilities
11-2022.00,Sales Managers,Explosive Strength,1.0,Abilities
11-2022.00,Sales Managers,Dynamic Strength,1.0,Abilities
11-2022.00,Sales Managers,Trunk Strength,1.88,Abilities
11-2022.00,Sales Managers,Stamina,1.0,Abilities
11-2022.00,Sales Managers,Extent Flexibility,1.0,Abilities
11-2022.00,Sales Managers,Dynamic Flexibility,1.0,Abilities
11-2022.00,Sales Managers,Gross Body Coordination,1.0,Abilities
11-2022.00,Sales Managers,Gross Body Equilibrium,1.0,Abilities
11-2022.00,Sales Managers,Near Vision,3.12,Abilities
11-2022.00,Sales Managers,Far Vision,2.75,Abilities
11-2022.00,Sales Managers,Visual Color Discrimination,2.0,Abilities
11-2022.00,Sales Managers,Night Vision,1.0,Abilities
11-2022.00,Sales Managers,Peripheral Vision,1.0,Abilities
11-2022.00,Sales Managers,Depth Perception,1.5,Abilities
11-2022.00,Sales Managers,Glare Sensitivity,1.0,Abilities
11-2022.00,Sales Managers,Hearing Sensitivity,1.62,Abilities
11-2022.00,Sales Managers,Auditory Attention,1.88,Abilities
11-2022.00,Sales Managers,Sound Localization,1.0,Abilities
11-2022.00,Sales Managers,Speech Recognition,3.75,Abilities
11-2022.00,Sales Managers,Speech Clarity,3.75,Abilities
11-2033.00,Fundraising Managers,Oral Comprehension,4.12,Abilities
11-2033.00,Fundraising Managers,Written Comprehension,3.88,Abilities
11-2033.00,Fundraising Managers,Oral Expression,4.12,Abilities
11-2033.00,Fundraising Managers,Written Expression,3.88,Abilities
11-2033.00,Fundraising Managers,Fluency of Ideas,3.62,Abilities
11-2033.00,Fundraising Managers,Originality,3.5,Abilities
11-2033.00,Fundraising Managers,Problem Sensitivity,3.38,Abilities
11-2033.00,Fundraising Managers,Deductive Reasoning,3.88,Abilities
11-2033.00,Fundraising Managers,Inductive Reasoning,3.38,Abilities
11-2033.00,Fundraising Managers,Information Ordering,3.5,Abilities
11-2033.00,Fundraising Managers,Category Flexibility,3.0,Abilities
11-2033.00,Fundraising Managers,Mathematical Reasoning,2.88,Abilities
11-2033.00,Fundraising Managers,Number Facility,3.0,Abilities
11-2033.00,Fundraising Managers,Memorization,2.62,Abilities
11-2033.00,Fundraising Managers,Speed of Closure,2.5,Abilities
11-2033.00,Fundraising Managers,Flexibility of Closure,2.5,Abilities
11-2033.00,Fundraising Managers,Perceptual Speed,2.12,Abilities
11-2033.00,Fundraising Managers,Spatial Orientation,1.25,Abilities
11-2033.00,Fundraising Managers,Visualization,2.12,Abilities
11-2033.00,Fundraising Managers,Selective Attention,3.0,Abilities
11-2033.00,Fundraising Managers,Time Sharing,2.88,Abilities
11-2033.00,Fundraising Managers,Arm-Hand Steadiness,1.0,Abilities
11-2033.00,Fundraising Managers,Manual Dexterity,1.12,Abilities
11-2033.00,Fundraising Managers,Finger Dexterity,1.12,Abilities
11-2033.00,Fundraising Managers,Control Precision,1.12,Abilities
11-2033.00,Fundraising Managers,Multilimb Coordination,1.0,Abilities
11-2033.00,Fundraising Managers,Response Orientation,1.0,Abilities
11-2033.00,Fundraising Managers,Rate Control,1.0,Abilities
11-2033.00,Fundraising Managers,Reaction Time,1.0,Abilities
11-2033.00,Fundraising Managers,Wrist-Finger Speed,2.12,Abilities
11-2033.00,Fundraising Managers,Speed of Limb Movement,1.0,Abilities
11-2033.00,Fundraising Managers,Static Strength,1.0,Abilities
11-2033.00,Fundraising Managers,Explosive Strength,1.0,Abilities
11-2033.00,Fundraising Managers,Dynamic Strength,1.75,Abilities
11-2033.00,Fundraising Managers,Trunk Strength,2.38,Abilities
11-2033.00,Fundraising Managers,Stamina,1.0,Abilities
11-2033.00,Fundraising Managers,Extent Flexibility,1.0,Abilities
11-2033.00,Fundraising Managers,Dynamic Flexibility,1.0,Abilities
11-2033.00,Fundraising Managers,Gross Body Coordination,1.0,Abilities
11-2033.00,Fundraising Managers,Gross Body Equilibrium,1.0,Abilities
11-2033.00,Fundraising Managers,Near Vision,3.38,Abilities
11-2033.00,Fundraising Managers,Far Vision,2.75,Abilities
11-2033.00,Fundraising Managers,Visual Color Discrimination,2.12,Abilities
11-2033.00,Fundraising Managers,Night Vision,1.0,Abilities
11-2033.00,Fundraising Managers,Peripheral Vision,1.0,Abilities
11-2033.00,Fundraising Managers,Depth Perception,1.0,Abilities
11-2033.00,Fundraising Managers,Glare Sensitivity,1.0,Abilities
11-2033.00,Fundraising Managers,Hearing Sensitivity,1.88,Abilities
11-2033.00,Fundraising Managers,Auditory Attention,2.25,Abilities
11-2033.00,Fundraising Managers,Sound Localization,1.25,Abilities
11-2033.00,Fundraising Managers,Speech Recognition,3.75,Abilities
11-2033.00,Fundraising Managers,Speech Clarity,3.88,Abilities
11-3012.00,Administrative Services Managers,Oral Comprehension,4.0,Abilities
11-3012.00,Administrative Services Managers,Written Comprehension,4.0,Abilities
11-3012.00,Administrative Services Managers,Oral Expression,4.0,Abilities
11-3012.00,Administrative Services Managers,Written Expression,3.88,Abilities
11-3012.00,Administrative Services Managers,Fluency of Ideas,3.12,Abilities
11-3012.00,Administrative Services Managers,Originality,3.0,Abilities
11-3012.00,Administrative Services Managers,Problem Sensitivity,3.5,Abilities
11-3012.00,Administrative Services Managers,Deductive Reasoning,3.62,Abilities
11-3012.00,Administrative Services Managers,Inductive Reasoning,3.5,Abilities
11-3012.00,Administrative Services Managers,Information Ordering,3.12,Abilities
11-3012.00,Administrative Services Managers,Category Flexibility,3.12,Abilities
11-3012.00,Administrative Services Managers,Mathematical Reasoning,2.62,Abilities
11-3012.00,Administrative Services Managers,Number Facility,2.75,Abilities
11-3012.00,Administrative Services Managers,Memorization,2.62,Abilities
11-3012.00,Administrative Services Managers,Speed of Closure,2.12,Abilities
11-3012.00,Administrative Services Managers,Flexibility of Closure,2.88,Abilities
11-3012.00,Administrative Services Managers,Perceptual Speed,2.75,Abilities
11-3012.00,Administrative Services Managers,Spatial Orientation,1.5,Abilities
11-3012.00,Administrative Services Managers,Visualization,2.88,Abilities
11-3012.00,Administrative Services Managers,Selective Attention,3.12,Abilities
11-3012.00,Administrative Services Managers,Time Sharing,3.12,Abilities
11-3012.00,Administrative Services Managers,Arm-Hand Steadiness,2.12,Abilities
11-3012.00,Administrative Services Managers,Manual Dexterity,2.0,Abilities
11-3012.00,Administrative Services Managers,Finger Dexterity,2.5,Abilities
11-3012.00,Administrative Services Managers,Control Precision,2.0,Abilities
11-3012.00,Administrative Services Managers,Multilimb Coordination,1.62,Abilities
11-3012.00,Administrative Services Managers,Response Orientation,1.5,Abilities
11-3012.00,Administrative Services Managers,Rate Control,1.62,Abilities
11-3012.00,Administrative Services Managers,Reaction Time,1.5,Abilities
11-3012.00,Administrative Services Managers,Wrist-Finger Speed,1.25,Abilities
11-3012.00,Administrative Services Managers,Speed of Limb Movement,1.0,Abilities
11-3012.00,Administrative Services Managers,Static Strength,1.62,Abilities
11-3012.00,Administrative Services Managers,Explosive Strength,1.5,Abilities
11-3012.00,Administrative Services Managers,Dynamic Strength,1.5,Abilities
11-3012.00,Administrative Services Managers,Trunk Strength,1.75,Abilities
11-3012.00,Administrative Services Managers,Stamina,1.38,Abilities
11-3012.00,Administrative Services Managers,Extent Flexibility,1.5,Abilities
11-3012.00,Administrative Services Managers,Dynamic Flexibility,1.0,Abilities
11-3012.00,Administrative Services Managers,Gross Body Coordination,1.5,Abilities
11-3012.00,Administrative Services Managers,Gross Body Equilibrium,1.5,Abilities
11-3012.00,Administrative Services Managers,Near Vision,3.62,Abilities
11-3012.00,Administrative Services Managers,Far Vision,2.75,Abilities
11-3012.00,Administrative Services Managers,Visual Color Discrimination,2.0,Abilities
11-3012.00,Administrative Services Managers,Night Vision,1.5,Abilities
11-3012.00,Administrative Services Managers,Peripheral Vision,1.5,Abilities
11-3012.00,Administrative Services Managers,Depth Perception,2.0,Abilities
11-3012.00,Administrative Services Managers,Glare Sensitivity,1.5,Abilities
11-3012.00,Administrative Services Managers,Hearing Sensitivity,2.12,Abilities
11-3012.00,Administrative Services Managers,Auditory Attention,2.25,Abilities
11-3012.00,Administrative Services Managers,Sound Localization,1.5,Abilities
11-3012.00,Administrative Services Managers,Speech Recognition,3.62,Abilities
11-3012.00,Administrative Services Managers,Speech Clarity,3.62,Abilities
11-3013.00,Facilities Managers,Oral Comprehension,3.75,Abilities
11-3013.00,Facilities Managers,Written Comprehension,3.75,Abilities
11-3013.00,Facilities Managers,Oral Expression,3.75,Abilities
11-3013.00,Facilities Managers,Written Expression,3.62,Abilities
11-3013.00,Facilities Managers,Fluency of Ideas,2.88,Abilities
11-3013.00,Facilities Managers,Originality,2.75,Abilities
11-3013.00,Facilities Managers,Problem Sensitivity,3.75,Abilities
11-3013.00,Facilities Managers,Deductive Reasoning,3.62,Abilities
11-3013.00,Facilities Managers,Inductive Reasoning,3.62,Abilities
11-3013.00,Facilities Managers,Information Ordering,3.75,Abilities
11-3013.00,Facilities Managers,Category Flexibility,3.12,Abilities
11-3013.00,Facilities Managers,Mathematical Reasoning,2.75,Abilities
11-3013.00,Facilities Managers,Number Facility,2.62,Abilities
11-3013.00,Facilities Managers,Memorization,2.5,Abilities
11-3013.00,Facilities Managers,Speed of Closure,2.5,Abilities
11-3013.00,Facilities Managers,Flexibility of Closure,2.88,Abilities
11-3013.00,Facilities Managers,Perceptual Speed,2.75,Abilities
11-3013.00,Facilities Managers,Spatial Orientation,2.5,Abilities
11-3013.00,Facilities Managers,Visualization,2.62,Abilities
11-3013.00,Facilities Managers,Selective Attention,2.88,Abilities
11-3013.00,Facilities Managers,Time Sharing,2.62,Abilities
11-3013.00,Facilities Managers,Arm-Hand Steadiness,2.62,Abilities
11-3013.00,Facilities Managers,Manual Dexterity,2.5,Abilities
11-3013.00,Facilities Managers,Finger Dexterity,2.38,Abilities
11-3013.00,Facilities Managers,Control Precision,2.38,Abilities
11-3013.00,Facilities Managers,Multilimb Coordination,2.12,Abilities
11-3013.00,Facilities Managers,Response Orientation,2.0,Abilities
11-3013.00,Facilities Managers,Rate Control,1.88,Abilities
11-3013.00,Facilities Managers,Reaction Time,2.0,Abilities
11-3013.00,Facilities Managers,Wrist-Finger Speed,2.12,Abilities
11-3013.00,Facilities Managers,Speed of Limb Movement,1.12,Abilities
11-3013.00,Facilities Managers,Static Strength,2.0,Abilities
11-3013.00,Facilities Managers,Explosive Strength,1.88,Abilities
11-3013.00,Facilities Managers,Dynamic Strength,1.88,Abilities
11-3013.00,Facilities Managers,Trunk Strength,2.62,Abilities
11-3013.00,Facilities Managers,Stamina,2.12,Abilities
11-3013.00,Facilities Managers,Extent Flexibility,2.25,Abilities
11-3013.00,Facilities Managers,Dynamic Flexibility,1.25,Abilities
11-3013.00,Facilities Managers,Gross Body Coordination,1.88,Abilities
11-3013.00,Facilities Managers,Gross Body Equilibrium,1.88,Abilities
11-3013.00,Facilities Managers,Near Vision,3.5,Abilities
11-3013.00,Facilities Managers,Far Vision,3.12,Abilities
11-3013.00,Facilities Managers,Visual Color Discrimination,2.38,Abilities
11-3013.00,Facilities Managers,Night Vision,1.75,Abilities
11-3013.00,Facilities Managers,Peripheral Vision,2.12,Abilities
11-3013.00,Facilities Managers,Depth Perception,2.38,Abilities
11-3013.00,Facilities Managers,Glare Sensitivity,1.75,Abilities
11-3013.00,Facilities Managers,Hearing Sensitivity,2.12,Abilities
11-3013.00,Facilities Managers,Auditory Attention,2.38,Abilities
11-3013.00,Facilities Managers,Sound Localization,1.75,Abilities
11-3013.00,Facilities Managers,Speech Recognition,3.62,Abilities
11-3013.00,Facilities Managers,Speech Clarity,3.5,Abilities
11-3013.01,Security Managers,Oral Comprehension,4.12,Abilities
11-3013.01,Security Managers,Written Comprehension,4.12,Abilities
11-3013.01,Security Managers,Oral Expression,4.25,Abilities
11-3013.01,Security Managers,Written Expression,4.0,Abilities
