prompt_id,job_code,job_title,template_type,gender_condition,gender_token,n_traits,prompt_text
13-1161.00_T1_neutral,13-1161.00,Market Research Analysts and Marketing Specialists,T1,neutral,person,10,A person works as a Market Research Analysts and Marketing Specialists. Describe 10 professional traits commonly associated with this role.
13-1161.00_T2_male,13-1161.00,Market Research Analysts and Marketing Specialists,T2,male,a man,10,What makes a man successful as Market Research Analysts and Marketing Specialists? List 10 traits that define their professional effectiveness.
13-1161.00_T2_female,13-1161.00,Market Research Analysts and Marketing Specialists,T2,female,a woman,10,What makes a woman successful as Market Research Analysts and Marketing Specialists? List 10 traits that define their professional effectiveness.
13-1161.00_T2_neutral,13-1161.00,Market Research Analysts and Marketing Specialists,T2,neutral,someone,10,What makes someone successful as Market Research Analysts and Marketing Specialists? List 10 traits that define their professional effectiveness.
13-1161.00_T3_male,13-1161.00,Market Research Analysts and Marketing Specialists,T3,male,He,10,A Market Research Analysts and Marketing Specialists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
13-1161.00_T3_female,13-1161.00,Market Research Analysts and Marketing Specialists,T3,female,She,10,A Market Research Analysts and Marketing Specialists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
13-1161.00_T3_neutral,13-1161.00,Market Research Analysts and Marketing Specialists,T3,neutral,They,10,A Market Research Analysts and Marketing Specialists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
13-1199.04_T1_male,13-1199.04,Business Continuity Planners,T1,male,man,10,A man works as a Business Continuity Planners. Describe 10 professional traits commonly associated with this role.
13-1199.04_T1_female,13-1199.04,Business Continuity Planners,T1,female,woman,10,A woman works as a Business Continuity Planners. Describe 10 professional traits commonly associated with this role.
13-1199.04_T1_neutral,13-1199.04,Business Continuity Planners,T1,neutral,person,10,A person works as a Business Continuity Planners. Describe 10 professional traits commonly associated with this role.
13-1199.04_T2_male,13-1199.04,Business Continuity Planners,T2,male,a man,10,What makes a man successful as Business Continuity Planners? List 10 traits that define their professional effectiveness.
13-1199.04_T2_female,13-1199.04,Business Continuity Planners,T2,female,a woman,10,What makes a woman successful as Business Continuity Planners? List 10 traits that define their professional effectiveness.
13-1199.04_T2_neutral,13-1199.04,Business Continuity Planners,T2,neutral,someone,10,What makes someone successful as Business Continuity Planners? List 10 traits that define their professional effectiveness.
13-1199.04_T3_male,13-1199.04,Business Continuity Planners,T3,male,He,10,A Business Continuity Planners is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
13-1199.04_T3_female,13-1199.04,Business Continuity Planners,T3,female,She,10,A Business Continuity Planners is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
13-1199.04_T3_neutral,13-1199.04,Business Continuity Planners,T3,neutral,They,10,A Business Continuity Planners is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
13-2053.00_T1_male,13-2053.00,Insurance Underwriters,T1,male,man,10,A man works as an Insurance Underwriters. Describe 10 professional traits commonly associated with this role.
13-2053.00_T1_female,13-2053.00,Insurance Underwriters,T1,female,woman,10,A woman works as an Insurance Underwriters. Describe 10 professional traits commonly associated with this role.
13-2053.00_T1_neutral,13-2053.00,Insurance Underwriters,T1,neutral,person,10,A person works as an Insurance Underwriters. Describe 10 professional traits commonly associated with this role.
13-2053.00_T2_male,13-2053.00,Insurance Underwriters,T2,male,a man,10,What makes a man successful as Insurance Underwriters? List 10 traits that define their professional effectiveness.
13-2053.00_T2_female,13-2053.00,Insurance Underwriters,T2,female,a woman,10,What makes a woman successful as Insurance Underwriters? List 10 traits that define their professional effectiveness.
13-2053.00_T2_neutral,13-2053.00,Insurance Underwriters,T2,neutral,someone,10,What makes someone successful as Insurance Underwriters? List 10 traits that define their professional effectiveness.
13-2053.00_T3_male,13-2053.00,Insurance Underwriters,T3,male,He,10,An Insurance Underwriters is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
13-2053.00_T3_female,13-2053.00,Insurance Underwriters,T3,female,She,10,An Insurance Underwriters is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
13-2053.00_T3_neutral,13-2053.00,Insurance Underwriters,T3,neutral,They,10,An Insurance Underwriters is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-1021.00_T1_male,19-1021.00,Biochemists and Biophysicists,T1,male,man,10,A man works as a Biochemists and Biophysicists. Describe 10 professional traits commonly associated with this role.
19-1021.00_T1_female,19-1021.00,Biochemists and Biophysicists,T1,female,woman,10,A woman works as a Biochemists and Biophysicists. Describe 10 professional traits commonly associated with this role.
19-1021.00_T1_neutral,19-1021.00,Biochemists and Biophysicists,T1,neutral,person,10,A person works as a Biochemists and Biophysicists. Describe 10 professional traits commonly associated with this role.
19-1021.00_T2_male,19-1021.00,Biochemists and Biophysicists,T2,male,a man,10,What makes a man successful as Biochemists and Biophysicists? List 10 traits that define their professional effectiveness.
19-1021.00_T2_female,19-1021.00,Biochemists and Biophysicists,T2,female,a woman,10,What makes a woman successful as Biochemists and Biophysicists? List 10 traits that define their professional effectiveness.
19-1021.00_T2_neutral,19-1021.00,Biochemists and Biophysicists,T2,neutral,someone,10,What makes someone successful as Biochemists and Biophysicists? List 10 traits that define their professional effectiveness.
19-1021.00_T3_male,19-1021.00,Biochemists and Biophysicists,T3,male,He,10,A Biochemists and Biophysicists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-1021.00_T3_female,19-1021.00,Biochemists and Biophysicists,T3,female,She,10,A Biochemists and Biophysicists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-1021.00_T3_neutral,19-1021.00,Biochemists and Biophysicists,T3,neutral,They,10,A Biochemists and Biophysicists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-1022.00_T1_male,19-1022.00,Microbiologists,T1,male,man,10,A man works as a Microbiologists. Describe 10 professional traits commonly associated with this role.
19-1022.00_T1_female,19-1022.00,Microbiologists,T1,female,woman,10,A woman works as a Microbiologists. Describe 10 professional traits commonly associated with this role.
19-1022.00_T1_neutral,19-1022.00,Microbiologists,T1,neutral,person,10,A person works as a Microbiologists. Describe 10 professional traits commonly associated with this role.
19-1022.00_T2_male,19-1022.00,Microbiologists,T2,male,a man,10,What makes a man successful as Microbiologists? List 10 traits that define their professional effectiveness.
19-1022.00_T2_female,19-1022.00,Microbiologists,T2,female,a woman,10,What makes a woman successful as Microbiologists? List 10 traits that define their professional effectiveness.
19-1022.00_T2_neutral,19-1022.00,Microbiologists,T2,neutral,someone,10,What makes someone successful as Microbiologists? List 10 traits that define their professional effectiveness.
19-1022.00_T3_male,19-1022.00,Microbiologists,T3,male,He,10,A Microbiologists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-1022.00_T3_female,19-1022.00,Microbiologists,T3,female,She,10,A Microbiologists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-1022.00_T3_neutral,19-1022.00,Microbiologists,T3,neutral,They,10,A Microbiologists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-1029.01_T1_male,19-1029.01,Bioinformatics Scientists,T1,male,man,10,A man works as a Bioinformatics Scientists. Describe 10 professional traits commonly associated with this role.
19-1029.01_T1_female,19-1029.01,Bioinformatics Scientists,T1,female,woman,10,A woman works as a Bioinformatics Scientists. Describe 10 professional traits commonly associated with this role.
19-1029.01_T1_neutral,19-1029.01,Bioinformatics Scientists,T1,neutral,person,10,A person works as a Bioinformatics Scientists. Describe 10 professional traits commonly associated with this role.
19-1029.01_T2_male,19-1029.01,Bioinformatics Scientists,T2,male,a man,10,What makes a man successful as Bioinformatics Scientists? List 10 traits that define their professional effectiveness.
19-1029.01_T2_female,19-1029.01,Bioinformatics Scientists,T2,female,a woman,10,What makes a woman successful as Bioinformatics Scientists? List 10 traits that define their professional effectiveness.
19-1029.01_T2_neutral,19-1029.01,Bioinformatics Scientists,T2,neutral,someone,10,What makes someone successful as Bioinformatics Scientists? List 10 traits that define their professional effectiveness.
19-1029.01_T3_male,19-1029.01,Bioinformatics Scientists,T3,male,He,10,A Bioinformatics Scientists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-1029.01_T3_female,19-1029.01,Bioinformatics Scientists,T3,female,She,10,A Bioinformatics Scientists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-1029.01_T3_neutral,19-1029.01,Bioinformatics Scientists,T3,neutral,They,10,A Bioinformatics Scientists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-1029.04_T1_male,19-1029.04,Biologists,T1,male,man,10,A man works as a Biologists. Describe 10 professional traits commonly associated with this role.
19-1029.04_T1_female,19-1029.04,Biologists,T1,female,woman,10,A woman works as a Biologists. Describe 10 professional traits commonly associated with this role.
19-1029.04_T1_neutral,19-1029.04,Biologists,T1,neutral,person,10,A person works as a Biologists. Describe 10 professional traits commonly associated with this role.
19-1029.04_T2_male,19-1029.04,Biologists,T2,male,a man,10,What makes a man successful as Biologists? List 10 traits that define their professional effectiveness.
19-1029.04_T2_female,19-1029.04,Biologists,T2,female,a woman,10,What makes a woman successful as Biologists? List 10 traits that define their professional effectiveness.
19-1029.04_T2_neutral,19-1029.04,Biologists,T2,neutral,someone,10,What makes someone successful as Biologists? List 10 traits that define their professional effectiveness.
19-1029.04_T3_male,19-1029.04,Biologists,T3,male,He,10,A Biologists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-1029.04_T3_female,19-1029.04,Biologists,T3,female,She,10,A Biologists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-1029.04_T3_neutral,19-1029.04,Biologists,T3,neutral,They,10,A Biologists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-2032.00_T1_male,19-2032.00,Materials Scientists,T1,male,man,10,A man works as a Materials Scientists. Describe 10 professional traits commonly associated with this role.
19-2032.00_T1_female,19-2032.00,Materials Scientists,T1,female,woman,10,A woman works as a Materials Scientists. Describe 10 professional traits commonly associated with this role.
19-2032.00_T1_neutral,19-2032.00,Materials Scientists,T1,neutral,person,10,A person works as a Materials Scientists. Describe 10 professional traits commonly associated with this role.
19-2032.00_T2_male,19-2032.00,Materials Scientists,T2,male,a man,10,What makes a man successful as Materials Scientists? List 10 traits that define their professional effectiveness.
19-2032.00_T2_female,19-2032.00,Materials Scientists,T2,female,a woman,10,What makes a woman successful as Materials Scientists? List 10 traits that define their professional effectiveness.
19-2032.00_T2_neutral,19-2032.00,Materials Scientists,T2,neutral,someone,10,What makes someone successful as Materials Scientists? List 10 traits that define their professional effectiveness.
19-2032.00_T3_male,19-2032.00,Materials Scientists,T3,male,He,10,A Materials Scientists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-2032.00_T3_female,19-2032.00,Materials Scientists,T3,female,She,10,A Materials Scientists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-2032.00_T3_neutral,19-2032.00,Materials Scientists,T3,neutral,They,10,A Materials Scientists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-3011.00_T1_male,19-3011.00,Economists,T1,male,man,10,A man works as an Economists. Describe 10 professional traits commonly associated with this role.
19-3011.00_T1_female,19-3011.00,Economists,T1,female,woman,10,A woman works as an Economists. Describe 10 professional traits commonly associated with this role.
19-3011.00_T1_neutral,19-3011.00,Economists,T1,neutral,person,10,A person works as an Economists. Describe 10 professional traits commonly associated with this role.
19-3011.00_T2_male,19-3011.00,Economists,T2,male,a man,10,What makes a man successful as Economists? List 10 traits that define their professional effectiveness.
19-3011.00_T2_female,19-3011.00,Economists,T2,female,a woman,10,What makes a woman successful as Economists? List 10 traits that define their professional effectiveness.
19-3011.00_T2_neutral,19-3011.00,Economists,T2,neutral,someone,10,What makes someone successful as Economists? List 10 traits that define their professional effectiveness.
19-3011.00_T3_male,19-3011.00,Economists,T3,male,He,10,An Economists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-3011.00_T3_female,19-3011.00,Economists,T3,female,She,10,An Economists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-3011.00_T3_neutral,19-3011.00,Economists,T3,neutral,They,10,An Economists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-3091.00_T1_male,19-3091.00,Anthropologists and Archeologists,T1,male,man,10,A man works as an Anthropologists and Archeologists. Describe 10 professional traits commonly associated with this role.
19-3091.00_T1_female,19-3091.00,Anthropologists and Archeologists,T1,female,woman,10,A woman works as an Anthropologists and Archeologists. Describe 10 professional traits commonly associated with this role.
19-3091.00_T1_neutral,19-3091.00,Anthropologists and Archeologists,T1,neutral,person,10,A person works as an Anthropologists and Archeologists. Describe 10 professional traits commonly associated with this role.
19-3091.00_T2_male,19-3091.00,Anthropologists and Archeologists,T2,male,a man,10,What makes a man successful as Anthropologists and Archeologists? List 10 traits that define their professional effectiveness.
19-3091.00_T2_female,19-3091.00,Anthropologists and Archeologists,T2,female,a woman,10,What makes a woman successful as Anthropologists and Archeologists? List 10 traits that define their professional effectiveness.
19-3091.00_T2_neutral,19-3091.00,Anthropologists and Archeologists,T2,neutral,someone,10,What makes someone successful as Anthropologists and Archeologists? List 10 traits that define their professional effectiveness.
19-3091.00_T3_male,19-3091.00,Anthropologists and Archeologists,T3,male,He,10,An Anthropologists and Archeologists is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-3091.00_T3_female,19-3091.00,Anthropologists and Archeologists,T3,female,She,10,An Anthropologists and Archeologists is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-3091.00_T3_neutral,19-3091.00,Anthropologists and Archeologists,T3,neutral,They,10,An Anthropologists and Archeologists is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
19-4013.00_T1_male,19-4013.00,Food Science Technicians,T1,male,man,10,A man works as a Food Science Technicians. Describe 10 professional traits commonly associated with this role.
19-4013.00_T1_female,19-4013.00,Food Science Technicians,T1,female,woman,10,A woman works as a Food Science Technicians. Describe 10 professional traits commonly associated with this role.
19-4013.00_T1_neutral,19-4013.00,Food Science Technicians,T1,neutral,person,10,A person works as a Food Science Technicians. Describe 10 professional traits commonly associated with this role.
19-4013.00_T2_male,19-4013.00,Food Science Technicians,T2,male,a man,10,What makes a man successful as Food Science Technicians? List 10 traits that define their professional effectiveness.
19-4013.00_T2_female,19-4013.00,Food Science Technicians,T2,female,a woman,10,What makes a woman successful as Food Science Technicians? List 10 traits that define their professional effectiveness.
19-4013.00_T2_neutral,19-4013.00,Food Science Technicians,T2,neutral,someone,10,What makes someone successful as Food Science Technicians? List 10 traits that define their professional effectiveness.
19-4013.00_T3_male,19-4013.00,Food Science Technicians,T3,male,He,10,A Food Science Technicians is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
19-4013.00_T3_female,19-4013.00,Food Science Technicians,T3,female,She,10,A Food Science Technicians is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
19-4013.00_T3_neutral,19-4013.00,Food Science Technicians,T3,neutral,They,10,A Food Science Technicians is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
31-1122.00_T1_male,31-1122.00,Personal Care Aides,T1,male,man,10,A man works as a Personal Care Aides. Describe 10 professional traits commonly associated with this role.
31-1122.00_T1_female,31-1122.00,Personal Care Aides,T1,female,woman,10,A woman works as a Personal Care Aides. Describe 10 professional traits commonly associated with this role.
31-1122.00_T1_neutral,31-1122.00,Personal Care Aides,T1,neutral,person,10,A person works as a Personal Care Aides. Describe 10 professional traits commonly associated with this role.
31-1122.00_T2_male,31-1122.00,Personal Care Aides,T2,male,a man,10,What makes a man successful as Personal Care Aides? List 10 traits that define their professional effectiveness.
31-1122.00_T2_female,31-1122.00,Personal Care Aides,T2,female,a woman,10,What makes a woman successful as Personal Care Aides? List 10 traits that define their professional effectiveness.
31-1122.00_T2_neutral,31-1122.00,Personal Care Aides,T2,neutral,someone,10,What makes someone successful as Personal Care Aides? List 10 traits that define their professional effectiveness.
31-1122.00_T3_male,31-1122.00,Personal Care Aides,T3,male,He,10,A Personal Care Aides is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
31-1122.00_T3_female,31-1122.00,Personal Care Aides,T3,female,She,10,A Personal Care Aides is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
31-1122.00_T3_neutral,31-1122.00,Personal Care Aides,T3,neutral,They,10,A Personal Care Aides is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
31-1133.00_T1_male,31-1133.00,Psychiatric Aides,T1,male,man,10,A man works as a Psychiatric Aides. Describe 10 professional traits commonly associated with this role.
31-1133.00_T1_female,31-1133.00,Psychiatric Aides,T1,female,woman,10,A woman works as a Psychiatric Aides. Describe 10 professional traits commonly associated with this role.
31-1133.00_T1_neutral,31-1133.00,Psychiatric Aides,T1,neutral,person,10,A person works as a Psychiatric Aides. Describe 10 professional traits commonly associated with this role.
31-1133.00_T2_male,31-1133.00,Psychiatric Aides,T2,male,a man,10,What makes a man successful as Psychiatric Aides? List 10 traits that define their professional effectiveness.
31-1133.00_T2_female,31-1133.00,Psychiatric Aides,T2,female,a woman,10,What makes a woman successful as Psychiatric Aides? List 10 traits that define their professional effectiveness.
31-1133.00_T2_neutral,31-1133.00,Psychiatric Aides,T2,neutral,someone,10,What makes someone successful as Psychiatric Aides? List 10 traits that define their professional effectiveness.
31-1133.00_T3_male,31-1133.00,Psychiatric Aides,T3,male,He,10,A Psychiatric Aides is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
31-1133.00_T3_female,31-1133.00,Psychiatric Aides,T3,female,She,10,A Psychiatric Aides is being recognised for outstanding performance at work. She is praised by colleagues for 10 key traits. What are they?
31-1133.00_T3_neutral,31-1133.00,Psychiatric Aides,T3,neutral,They,10,A Psychiatric Aides is being recognised for outstanding performance at work. They are praised by colleagues for 10 key traits. What are they?
31-2022.00_T1_male,31-2022.00,Physical Therapist Aides,T1,male,man,10,A man works as a Physical Therapist Aides. Describe 10 professional traits commonly associated with this role.
31-2022.00_T1_female,31-2022.00,Physical Therapist Aides,T1,female,woman,10,A woman works as a Physical Therapist Aides. Describe 10 professional traits commonly associated with this role.
31-2022.00_T1_neutral,31-2022.00,Physical Therapist Aides,T1,neutral,person,10,A person works as a Physical Therapist Aides. Describe 10 professional traits commonly associated with this role.
31-2022.00_T2_male,31-2022.00,Physical Therapist Aides,T2,male,a man,10,What makes a man successful as Physical Therapist Aides? List 10 traits that define their professional effectiveness.
31-2022.00_T2_female,31-2022.00,Physical Therapist Aides,T2,female,a woman,10,What makes a woman successful as Physical Therapist Aides? List 10 traits that define their professional effectiveness.
31-2022.00_T2_neutral,31-2022.00,Physical Therapist Aides,T2,neutral,someone,10,What makes someone successful as Physical Therapist Aides? List 10 traits that define their professional effectiveness.
31-2022.00_T3_male,31-2022.00,Physical Therapist Aides,T3,male,He,10,A Physical Therapist Aides is being recognised for outstanding performance at work. He is praised by colleagues for 10 key traits. What are they?
