job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
17-2141.02,0.6379,0.5003,0.6512,0.559,0.4701,0.5231,-0.0133,-0.1509,0.0359,-0.053,0.1376,0.0889
17-3029.08,0.6373,0.5456,0.5732,0.5007,0.5098,0.5218,0.0641,-0.0276,-0.0211,-0.012,0.0917,-0.0091
27-1013.00,0.6412,0.544,0.5841,0.5285,0.5473,0.5613,0.0571,-0.0401,-0.0328,-0.014,0.0972,-0.0188
27-1014.00,0.6066,0.6131,0.7178,0.5012,0.5235,0.5462,-0.1112,-0.1047,-0.045,-0.0227,-0.0065,-0.0223
27-1022.00,0.6227,0.6423,0.63,0.6033,0.574,0.5504,-0.0073,0.0123,0.0529,0.0236,-0.0196,0.0293
27-1023.00,0.6831,0.6514,0.7147,0.5516,0.522,0.5282,-0.0316,-0.0633,0.0234,-0.0062,0.0317,0.0296
27-2012.00,0.5875,0.6334,0.6364,0.5426,0.5683,0.5288,-0.0489,-0.003,0.0138,0.0395,-0.0459,-0.0257
27-2022.00,0.6207,0.6398,0.5183,0.4674,0.4935,0.4464,0.1024,0.1215,0.021,0.0471,-0.0191,-0.0261
27-3041.00,0.6571,0.6569,0.5974,0.545,0.5122,0.4962,0.0597,0.0595,0.0488,0.016,0.0002,0.0328
27-4031.00,0.6551,0.6169,0.6374,0.5133,0.5184,0.5284,0.0177,-0.0205,-0.0151,-0.01,0.0382,-0.0051
37-1011.00,0.6682,0.6988,0.708,0.5092,0.5595,0.5565,-0.0398,-0.0092,-0.0473,0.003,-0.0306,-0.0503
37-1012.00,0.6675,0.6948,0.6376,0.5574,0.6096,0.5342,0.0299,0.0572,0.0232,0.0754,-0.0273,-0.0522
37-2011.00,0.5953,0.6035,0.637,0.5318,0.5626,0.5375,-0.0417,-0.0335,-0.0057,0.0251,-0.0082,-0.0308
37-2012.00,0.5824,0.7279,0.6937,0.5295,0.5267,0.593,-0.1113,0.0342,-0.0635,-0.0663,-0.1455,0.0028
37-2021.00,0.601,0.5713,0.6558,0.4639,0.499,0.475,-0.0548,-0.0845,-0.0111,0.024,0.0297,-0.0351
37-3011.00,0.6325,0.627,0.661,0.5806,0.5506,0.6076,-0.0285,-0.034,-0.027,-0.057,0.0055,0.03
37-3012.00,0.5316,0.6089,0.6566,0.5395,0.5516,0.496,-0.125,-0.0477,0.0435,0.0556,-0.0773,-0.0121
37-3013.00,0.505,0.6004,0.5465,0.4462,0.4645,0.4606,-0.0415,0.0539,-0.0144,0.0039,-0.0954,-0.0183
