job_code,n_male,n_female,n_neutral,male_mean,female_mean,neutral_mean,cohens_d_male_female,effect_size_male_female,direction_male_female,cohens_d_male_neutral,effect_size_male_neutral,direction_male_neutral,cohens_d_female_neutral,effect_size_female_neutral,direction_female_neutral
35-2011.00,30,30,30,0.608,0.535,0.6139,0.3292,small,male > female,-0.0235,negligible,neutral > male,-0.3295,small,neutral > female
35-2015.00,30,30,30,0.5852,0.5696,0.6035,0.0677,negligible,male > female,-0.0746,negligible,neutral > male,-0.141,negligible,neutral > female
35-3011.00,30,30,30,0.6384,0.6102,0.4029,0.1169,negligible,male > female,1.1486,large,male > neutral,1.0321,large,female > neutral
35-3023.01,30,30,30,0.6141,0.5177,0.6514,0.4252,small,male > female,-0.1581,negligible,neutral > male,-0.5914,medium,neutral > female
35-3041.00,30,30,30,0.6006,0.5931,0.5781,0.0314,negligible,male > female,0.0951,negligible,male > neutral,0.0632,negligible,female > neutral
35-9031.00,30,30,30,0.531,0.4634,0.6343,0.4674,small,male > female,-0.5079,medium,neutral > male,-0.9151,large,neutral > female
51-2041.00,30,30,30,0.5631,0.6406,0.5893,-0.4119,small,female > male,-0.1479,negligible,neutral > male,0.2581,small,female > neutral
51-2092.00,30,30,30,0.6462,0.575,0.6769,0.3576,small,male > female,-0.1452,negligible,neutral > male,-0.5164,medium,neutral > female
51-3022.00,30,30,30,0.5104,0.5324,0.5501,-0.1188,negligible,female > male,-0.1876,negligible,neutral > male,-0.0972,negligible,neutral > female
51-4023.00,30,30,30,0.5623,0.6536,0.6717,-0.4545,small,female > male,-0.5554,medium,neutral > male,-0.0816,negligible,neutral > female
51-5112.00,30,30,30,0.6087,0.6922,0.584,-0.4153,small,female > male,0.1265,negligible,male > neutral,0.5574,medium,female > neutral
51-6061.00,30,30,30,0.6284,0.6858,0.6367,-0.2561,small,female > male,-0.0354,negligible,neutral > male,0.2114,small,female > neutral
51-8091.00,30,30,30,0.5431,0.594,0.6285,-0.252,small,female > male,-0.4393,small,neutral > male,-0.1541,negligible,neutral > female
51-9081.00,30,30,30,0.5927,0.5429,0.5678,0.2666,small,male > female,0.1253,negligible,male > neutral,-0.1358,negligible,neutral > female
