job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
31-9094.00,0.608,0.5604,0.5531,0.5013,0.4898,0.4575,0.0549,0.0073,0.0438,0.0323,0.0476,0.0115
31-9095.00,0.6738,0.6654,0.6607,0.5187,0.5346,0.5035,0.0131,0.0047,0.0152,0.0311,0.0084,-0.0159
31-9096.00,0.6268,0.7287,0.6742,0.571,0.6184,0.5391,-0.0474,0.0545,0.0319,0.0793,-0.1019,-0.0474
35-1011.00,0.5166,0.5611,0.5753,0.4347,0.5327,0.5538,-0.0587,-0.0142,-0.1191,-0.0211,-0.0445,-0.098
35-1012.00,0.6369,0.6397,0.645,0.5241,0.4965,0.4728,-0.0081,-0.0053,0.0513,0.0237,-0.0028,0.0276
35-2011.00,0.6245,0.5658,0.6387,0.5061,0.5378,0.5011,-0.0142,-0.0729,0.005,0.0367,0.0587,-0.0317
35-2015.00,0.601,0.5932,0.6348,0.53,0.5021,0.5042,-0.0338,-0.0416,0.0258,-0.0021,0.0078,0.0279
35-3011.00,0.6672,0.6314,0.4106,0.5439,0.5008,0.4296,0.2566,0.2208,0.1143,0.0712,0.0358,0.0431
35-3023.01,0.6561,0.5541,0.6916,0.5218,0.5031,0.5472,-0.0355,-0.1375,-0.0254,-0.0441,0.102,0.0187
35-3041.00,0.614,0.6098,0.6101,0.4877,0.5602,0.5576,0.0039,-0.0003,-0.0699,0.0026,0.0042,-0.0725
35-9031.00,0.5564,0.4766,0.6435,0.5194,0.4379,0.5393,-0.0871,-0.1669,-0.0199,-0.1014,0.0798,0.0815
51-2041.00,0.5804,0.6812,0.6263,0.5131,0.5449,0.5375,-0.0459,0.0549,-0.0244,0.0074,-0.1008,-0.0318
51-2092.00,0.6515,0.5668,0.7147,0.5588,0.5078,0.5687,-0.0632,-0.1479,-0.0099,-0.0609,0.0847,0.051
51-3022.00,0.518,0.5351,0.5724,0.4875,0.4924,0.4879,-0.0544,-0.0373,-0.0004,0.0045,-0.0171,-0.0049
51-4023.00,0.5821,0.6802,0.6958,0.5012,0.5173,0.5415,-0.1137,-0.0156,-0.0403,-0.0242,-0.0981,-0.0161
51-5112.00,0.6357,0.729,0.6283,0.5361,0.4971,0.5069,0.0074,0.1007,0.0292,-0.0098,-0.0933,0.039
51-6061.00,0.6353,0.7239,0.6715,0.5304,0.5188,0.5368,-0.0362,0.0524,-0.0064,-0.018,-0.0886,0.0116
51-8091.00,0.5601,0.6387,0.6449,0.5214,0.5266,0.5275,-0.0848,-0.0062,-0.0061,-0.0009,-0.0786,-0.0052
51-9081.00,0.6351,0.5871,0.5957,0.5524,0.4771,0.5052,0.0394,-0.0086,0.0472,-0.0281,0.048,0.0753
