job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
19-2032.00,30,30,0.5365,0.548,-0.0115,-0.3025,0.7634,True,False,30,0.5178,0.0187,0.5093,0.6125,True,False,0.0302,0.8464,0.4008,True,False
19-3011.00,30,30,0.5397,0.5056,0.0341,0.7423,0.4609,True,False,30,0.4884,0.0513,1.2331,0.2225,True,False,0.0172,0.472,0.6387,True,False
19-3091.00,30,30,0.592,0.5728,0.0192,0.4045,0.6874,True,False,30,0.6173,-0.0254,-0.5334,0.5958,True,False,-0.0445,-0.8632,0.3916,True,False
19-4013.00,30,30,0.5875,0.626,-0.0385,-0.6995,0.487,True,False,30,0.5467,0.0408,0.7328,0.4666,True,False,0.0793,1.3264,0.1899,True,False
31-1122.00,30,30,0.6719,0.6678,0.0041,0.0676,0.9464,True,False,30,0.5272,0.1447,2.7573,0.0078,True,True,0.1406,2.571,0.0127,False,True
31-1133.00,30,30,0.611,0.5901,0.0208,0.3405,0.7347,True,False,30,0.5651,0.0458,0.7695,0.4447,True,False,0.025,0.4348,0.6653,True,False
31-2022.00,30,30,0.5359,0.5793,-0.0434,-0.8349,0.4072,True,False,30,0.6348,-0.0989,-2.0745,0.0425,True,True,-0.0556,-1.04,0.3026,True,False
31-9091.00,30,30,0.6745,0.5361,0.1383,2.327,0.0235,True,True,30,0.66,0.0145,0.2305,0.8185,True,False,-0.1239,-2.0671,0.0432,True,True
31-9093.00,30,30,0.6161,0.621,-0.0049,-0.085,0.9326,True,False,30,0.6491,-0.033,-0.5762,0.5667,True,False,-0.0281,-0.4997,0.6192,True,False
31-9094.00,30,30,0.5528,0.5289,0.0239,0.4413,0.6607,True,False,30,0.528,0.0248,0.4415,0.6605,True,False,0.0009,0.0161,0.9872,True,False
31-9095.00,30,30,0.6075,0.6268,-0.0193,-0.3273,0.7446,True,False,30,0.6165,-0.009,-0.1583,0.8748,True,False,0.0104,0.1774,0.8598,True,False
31-9096.00,30,30,0.6061,0.7017,-0.0956,-1.6813,0.0981,True,False,30,0.6266,-0.0205,-0.3697,0.7129,True,False,0.0751,1.2781,0.2063,True,False
35-1011.00,30,30,0.4966,0.5531,-0.0565,-1.0831,0.2832,True,False,30,0.5712,-0.0745,-1.3425,0.1847,True,False,-0.018,-0.3133,0.7552,True,False
35-1012.00,30,30,0.6262,0.6273,-0.0011,-0.0192,0.9848,True,False,30,0.6365,-0.0103,-0.1983,0.8435,True,False,-0.0092,-0.1612,0.8725,True,False
35-2011.00,30,30,0.608,0.535,0.073,1.2749,0.2074,True,False,30,0.6139,-0.0059,-0.091,0.9278,True,False,-0.0789,-1.2761,0.207,True,False
35-2015.00,30,30,0.5852,0.5696,0.0156,0.2621,0.7941,True,False,30,0.6035,-0.0183,-0.289,0.7736,True,False,-0.0339,-0.5461,0.5871,True,False
35-3011.00,30,30,0.6384,0.6102,0.0282,0.4527,0.6524,True,False,30,0.4029,0.2355,4.4485,0.0,False,True,0.2072,3.9973,0.0002,False,True
35-3023.01,30,30,0.6141,0.5177,0.0964,1.6469,0.105,True,False,30,0.6514,-0.0373,-0.6125,0.5426,True,False,-0.1337,-2.2906,0.0256,True,True
35-3041.00,30,30,0.6006,0.5931,0.0074,0.1214,0.9038,True,False,30,0.5781,0.0225,0.3684,0.7139,True,False,0.015,0.2447,0.8075,True,False
35-9031.00,30,30,0.531,0.4634,0.0676,1.81,0.0755,True,False,30,0.6343,-0.1032,-1.967,0.054,True,False,-0.1709,-3.5442,0.0008,False,True
51-2041.00,30,30,0.5631,0.6406,-0.0775,-1.5953,0.1161,True,False,30,0.5893,-0.0262,-0.5727,0.5691,True,False,0.0513,0.9996,0.3217,True,False
51-2092.00,30,30,0.6462,0.575,0.0712,1.3849,0.1714,True,False,30,0.6769,-0.0307,-0.5625,0.5759,True,False,-0.1019,-2.0001,0.0502,True,False
51-3022.00,30,30,0.5104,0.5324,-0.0221,-0.4599,0.6473,True,False,30,0.5501,-0.0398,-0.7267,0.4703,True,False,-0.0177,-0.3764,0.708,True,False
51-4023.00,30,30,0.5623,0.6536,-0.0913,-1.7604,0.0836,True,False,30,0.6717,-0.1094,-2.151,0.0357,True,True,-0.018,-0.3161,0.7531,True,False
51-5112.00,30,30,0.6087,0.6922,-0.0835,-1.6086,0.1131,True,False,30,0.584,0.0247,0.49,0.626,True,False,0.1082,2.159,0.035,True,True
51-6061.00,30,30,0.6284,0.6858,-0.0575,-0.9919,0.3254,True,False,30,0.6367,-0.0083,-0.1373,0.8913,True,False,0.0492,0.8188,0.4162,True,False
51-8091.00,30,30,0.5431,0.594,-0.0509,-0.9761,0.3331,True,False,30,0.6285,-0.0854,-1.7014,0.0942,True,False,-0.0345,-0.5969,0.5529,True,False
51-9081.00,30,30,0.5927,0.5429,0.0498,1.0327,0.306,True,False,30,0.5678,0.0249,0.4854,0.6292,True,False,-0.0249,-0.526,0.6009,True,False
